crop_year,harvest_area,yield,production,imports,exports,total_consumption,food_use,feed_seed_and waste,crush,ending_stocks,country
 2018/19,35753,3.57,127631,680,56064,60082,0,3746,56336,24088,USA
 2019/20,33103,3.36,111312,680,56472,59931,0,3459,56472,19677,USA
 2020/21,33103,3.40,112536,680,56880,60636,0,3483,57153,15377,USA
 2021/22,33306,3.44,114441,680,57153,61234,0,3537,57697,12111,USA
 2022/23,33468,3.47,116210,680,57425,61778,0,3537,58241,9798,USA
 2023/24,33670,3.51,118252,680,57697,62378,0,3592,58786,8655,USA
 2024/25,33872,3.55,120157,680,57969,63195,0,3593,59602,8328,USA
 2025/26,34075,3.59,122198,680,58650,63929,0,3647,60282,8627,USA
 2026/27,34075,3.62,123423,680,59330,64609,0,3646,60963,8791,USA
 2027/28,34277,3.66,125464,680,60555,65317,0,3674,61643,9063,USA
 2028/29,34277,3.70,126688,680,61371,65861,0,3673,62188,9199,USA
 2016/17,69,1.48,102,1646,0,1710,430,180,1100,514,Vietnam
 2017/18,60,1.50,90,1850,0,2100,460,190,1450,354,Vietnam
 2018/19,60,1.50,90,2150,0,2240,490,200,1550,354,Vietnam
 2019/20,61,1.50,92,2245,0,2326,514,209,1603,365,Vietnam
 2020/21,62,1.51,94,2330,0,2421,533,212,1676,368,Vietnam
 2021/22,64,1.52,96,2415,0,2509,551,214,1744,371,Vietnam
 2022/23,65,1.52,99,2500,0,2597,569,216,1812,373,Vietnam
 2023/24,67,1.53,103,2585,0,2682,590,224,1869,378,Vietnam
 2024/25,69,1.53,106,2669,0,2768,609,233,1926,385,Vietnam
 2025/26,70,1.54,108,2753,0,2856,629,240,1987,390,Vietnam
 2026/27,71,1.55,111,2836,0,2941,649,248,2043,396,Vietnam
 2027/28,72,1.56,113,2921,0,3029,669,258,2103,400,Vietnam
 2028/29,74,1.57,116,3004,0,3115,689,265,2161,405,Vietnam
 2016/17,119004,2.93,348121,147356,147356,331868,18196,26462,287210,96676,World
 2017/18,123837,2.72,337452,153124,153124,337474,19218,24117,294139,96654,World
 2018/19,129420,2.85,369479,157403,157403,356089,20228,27660,308201,110044,World
 2019/20,127431,2.81,358470,159143,159143,361214,20177,28590,312447,107300,World
 2020/21,129017,2.84,366047,162981,162981,368893,20324,28633,319936,104454,World
 2021/22,130697,2.87,374827,166033,166033,375978,20541,28994,326443,103303,World
 2022/23,132902,2.90,385435,170317,170317,384511,20748,29330,334433,104227,World
 2023/24,135052,2.93,396140,175656,175656,394250,21034,29732,343484,106117,World
 2024/25,136909,2.96,405909,180107,180107,403464,21325,30124,352015,108562,World
 2025/26,138542,3.00,415032,184202,184202,413316,21629,31597,360090,110278,World
 2026/27,139812,3.03,422980,188073,188073,421543,21951,31985,367607,111715,World
 2027/28,141281,3.06,431851,192117,192117,430410,22205,32583,375622,113156,World
 2028/29,142713,3.09,440839,196338,196338,439518,22417,33069,384032,114477,World
