crop_year,crush,extraction_rate,production,imports,exports,total_consumption,food_and_other_use,feed_use,ending_stocks,country
 2019/20,312447,79.37,247982,66050,66050,248075,41097,206978,11918,World
 2020/21,319936,79.36,253903,67402,67402,253732,41382,212350,12089,World
 2021/22,326443,79.36,259071,68617,68617,258945,41857,217088,12215,World
 2022/23,334433,79.38,265461,69921,69921,265342,42417,222925,12334,World
 2023/24,343484,79.39,272701,71336,71336,272558,42992,229566,12477,World
 2024/25,352015,79.40,279499,72796,72796,279312,43568,235744,12664,World
 2025/26,360090,79.41,285951,74252,74252,285779,44136,241643,12836,World
 2026/27,367607,79.42,291969,75674,75674,291753,44709,247044,13052,World
 2027/28,375622,79.42,298329,77075,77075,298165,45270,252895,13216,World
 2028/29,384032,79.45,305108,78507,78507,304943,45829,259114,13381,World
